name,company,year,kms_driven,fuel_type,Price
Bentley Mulliner Bacalar,Bentley,2011,187299,Diesel,86292301
BMW 2 Series,BMW,2019,63960,Petrol,4939244
BMW X1,BMW,2018,155012,Diesel,4743032
Mahindra XUV300,Mahindra,2025,11121,Petrol,923375
Mercedes-Benz AMG SL63,Mercedes-Benz,2022,78240,Petrol,27584357
Citroen C3,Citroen,2013,162751,Petrol,706846
Kia Carens,Kia,2012,260790,Petrol,1389085
Mahindra KUV100,Mahindra,2023,57499,Petrol,734906
Land Rover Discovery 5,Land Rover,2016,183762,Diesel,12425379
Maruti Suzuki Dzire,Maruti,2015,193442,Petrol,698647
Nissan Micra,Nissan,2019,111673,Petrol,869767
Volvo Polestar 2,Volvo,2018,78381,Diesel,8505935
Porsche 718 Cayman,Porsche,2019,63090,Diesel,15107146
Maserati Grecale,Maserati,2026,1792,Petrol,12233091
Tata Altroz,Tata,2017,80855,Diesel,815457
Aston Martin Valhalla,Aston,2018,157262,Petrol,72358601
Nissan Micra,Nissan,2023,47974,Petrol,696193
Mahindra Scorpio N,Mahindra,2013,150198,Diesel,1716558
Audi RS6,Audi,2022,67579,Diesel,15004393
Lexus IS,Lexus,2023,45723,Petrol,6155037
Audi A8,Audi,2012,121934,Petrol,14188267
Porsche 911 GT3,Porsche,2021,93704,Petrol,27446426
Volkswagen Golf GTI,Volkswagen,2024,38509,Diesel,3064017
Volkswagen Passat,Volkswagen,2022,79332,Diesel,2617905
Mahindra XUV900,Mahindra,2022,67367,Diesel,2209972
Tata Punch,Tata,2026,4122,Petrol,609857
Land Rover Discovery Sport,Land Rover,2023,49961,Petrol,7220601
Nissan GT-R,Nissan,2023,40505,Diesel,24417851
Lincoln Nautilus,Lincoln,2020,53751,Petrol,6763961
McLaren GT,McLaren,2023,53253,Petrol,41507135
Audi e-tron,Audi,2014,159922,Electric,16516785
Audi RS6,Audi,2024,27483,Petrol,14888330
BMW X1,BMW,2012,152614,Petrol,4862606
Audi TT,Audi,2012,249507,Petrol,6508708
Lamborghini Aventador,Lamborghini,2024,20563,Petrol,65741121
Hyundai Venue,Hyundai,2020,117928,CNG,1267585
Land Rover Range Rover Velar,Land Rover,2010,230434,Diesel,9274035
Audi RS4,Audi,2023,47919,Petrol,10568490
Cadillac XT5,Cadillac,2025,12182,Petrol,5310053
Mercedes-Benz AMG C43,Mercedes-Benz,2021,42182,Petrol,9510514
BMW X1,BMW,2024,24048,Petrol,4786105
Toyota Innova,Toyota,2014,196624,Diesel,2162789
Rolls Royce Phantom,Rolls,2012,233754,Petrol,95278331
Lexus LC,Lexus,2020,118239,Petrol,22209706
BMW Z4,BMW,2018,71985,Diesel,9077380
Rolls Royce Wraith,Rolls,2018,117025,Petrol,69097650
Genesis G90,Genesis,2016,121496,Diesel,7227110
BMW 5 Series,BMW,2021,49827,Diesel,7530573
BMW Z4 M40i,BMW,2010,207479,Petrol,8498903
Toyota Vellfire,Toyota,2015,156620,Petrol,97065280
Jaguar F-Pace,Jaguar,2012,208586,Petrol,7959927
Land Rover Range Rover Velar,Land Rover,2018,143421,Petrol,9658283
Tata Tiago EV,Tata,2025,16491,Electric,911174
Volkswagen Vento,Volkswagen,2019,62904,Petrol,1344225
Skoda Slavia,Skoda,2022,46745,Diesel,1636762
BMW 6 Series,BMW,2013,194227,Petrol,6642918
Audi RS3,Audi,2010,225948,Diesel,8443585
BMW Z4 M40i,BMW,2026,1347,Petrol,8810055
Mercedes-Benz CLS,Mercedes-Benz,2011,240125,Petrol,10122532
Hyundai Creta,Hyundai,2013,139771,Diesel,1941666
McLaren GT,McLaren,2024,26342,Petrol,43671384
Audi A6,Audi,2013,159314,Diesel,6859483
Mercedes-Benz SL,Mercedes-Benz,2016,82911,Diesel,17163478
Mahindra XUV700,Mahindra,2022,36385,Petrol,2544834
Volvo V40,Volvo,2011,214167,Diesel,4863339
Mahindra Scorpio N,Mahindra,2020,93554,Petrol,1919734
Porsche 718 Cayman,Porsche,2017,106704,Petrol,14327924
Audi A4,Audi,2022,49009,Electric,4864836
Porsche Cayenne,Porsche,2023,29462,Petrol,18251336
Land Rover Range Rover Evoque,Land Rover,2014,187270,Petrol,7680919
Lincoln MKZ,Lincoln,2013,128791,Diesel,4897748
Volvo EX90,Volvo,2018,109303,Petrol,8646942
Lexus LS,Lexus,2017,172094,Diesel,19833495
Lamborghini Huracan,Lamborghini,2017,80908,Petrol,41819659
Genesis GV80,Genesis,2010,152610,Diesel,7298293
Mahindra BE 6,Mahindra,2011,139029,Petrol,3191749
Cadillac XT4,Cadillac,2019,109137,Diesel,5859881
Hyundai i20,Hyundai,2020,57243,Diesel,1029261
BMW M2,BMW,2013,122560,Petrol,10821421
Toyota Innova,Toyota,2019,88319,Petrol,2151108
Rolls Royce Phantom,Rolls,2012,263182,Petrol,92802849
Aston Martin DBS Superleggera,Aston,2011,154603,Diesel,57174594
Land Rover Range Rover Velar,Land Rover,2010,225055,Petrol,9528723
Jeep Wagoneer,Jeep,2011,295349,Petrol,4842191
Mahindra BE 6,Mahindra,2026,1779,Petrol,3181593
Volvo C40,Volvo,2010,253567,Diesel,5654730
Volkswagen Polo,Volkswagen,2026,3027,Petrol,749322
Ferrari Daytona SP3,Ferrari,2014,195973,Diesel,48197873
Cadillac XT6,Cadillac,2025,9170,Petrol,7622736
Lexus RX,Lexus,2016,137299,Petrol,9575195
Mercedes-Benz AMG C63,Mercedes-Benz,2012,204062,Petrol,16225731
Aston Martin DBX,Aston,2019,100065,Petrol,40160801
Mahindra Bolero,Mahindra,2022,57501,Diesel,982869
Kia Carens,Kia,2019,65641,Petrol,1822236
Tata Nexon,Tata,2019,114385,Petrol,1566520
Porsche Cayenne,Porsche,2022,67905,Diesel,20484493
Tata Safari,Tata,2014,195714,Diesel,2164827
Lexus RC,Lexus,2026,3706,Petrol,7233552
Kia Sportage,Kia,2026,3282,Petrol,3011728
Maruti Suzuki Ertiga,Maruti,2016,113186,Petrol,1109582
Toyota Glanza,Toyota,2025,17285,Diesel,751049
Mercedes-Benz AMG SL63,Mercedes-Benz,2019,88133,Diesel,26148015
Genesis GV80,Genesis,2022,45027,Diesel,6915185
Mercedes-Benz AMG E53,Mercedes-Benz,2011,137696,Petrol,13773376
Ferrari 296 GTB,Ferrari,2011,220606,Diesel,59420982
Cadillac CT4,Cadillac,2021,60270,Diesel,4819783
Aston Martin DB11,Aston,2018,123388,Petrol,42734243
Honda Jazz,Honda,2017,174152,Diesel,1050100
Audi TT,Audi,2021,85790,Petrol,7062314
Renault Kiger,Renault,2016,183495,Petrol,944585
Volkswagen Tiguan,Volkswagen,2016,81175,Petrol,3636518
Volvo XC40,Volvo,2010,231866,Diesel,4816678
Lexus LX,Lexus,2010,239011,Diesel,17637469
Maruti Suzuki Invicto,Maruti,2010,166106,Petrol,2567760
Lexus RZ 450e,Lexus,2018,116331,Diesel,12709514
Maserati Grecale,Maserati,2010,168606,Petrol,14468324
Volvo EX30,Volvo,2022,78197,Diesel,4567781
Hyundai Alcazar,Hyundai,2010,140709,Diesel,1769446
Audi RS7,Audi,2019,113119,Petrol,17566910
Jaguar XJ,Jaguar,2017,72474,Petrol,11143070
Mercedes-Benz AMG SL63,Mercedes-Benz,2013,154080,Petrol,29148672
Rolls Royce Boat Tail,Rolls,2021,68511,Petrol,227410043
Maruti Suzuki Jimny,Maruti,2010,263070,Petrol,1401333
Kia EV6,Kia,2024,24881,Electric,6306460
Lexus UX 300e,Lexus,2020,110791,Petrol,5898854
Cadillac XT6,Cadillac,2018,117013,Petrol,7747013
Maruti Suzuki Dzire,Maruti,2014,234318,Diesel,896858
Mercedes-Benz AMG C63,Mercedes-Benz,2022,77325,Electric,14972096
Toyota Glanza,Toyota,2026,4585,Petrol,897078
Audi RS5,Audi,2023,36764,Petrol,12525904
Kia Seltos,Kia,2016,124352,Petrol,1276819
Toyota Yaris,Toyota,2024,38671,Petrol,1741822
BMW 4 Series,BMW,2020,99302,Petrol,5609123
Genesis G70,Genesis,2026,37,Petrol,4398479
Audi A3,Audi,2020,68813,Petrol,3911699
Bentley Bentayga,Bentley,2013,176640,Petrol,51945098
Volkswagen Virtus,Volkswagen,2020,73746,Petrol,1534559
Jaguar I-Pace,Jaguar,2026,4896,Diesel,12546357
Nissan Leaf,Nissan,2024,26039,Petrol,4258564
Volkswagen Golf GTI,Volkswagen,2019,101461,Diesel,3447586
Genesis GV60,Genesis,2014,220515,Diesel,6414005
Lexus RC,Lexus,2022,64669,Petrol,7509439
Bentley Azure,Bentley,2020,71695,Diesel,65033361
BMW X3 M,BMW,2018,139779,Petrol,8243071
Audi Q3,Audi,2021,64244,Diesel,4426015
Porsche 911,Porsche,2016,112827,Petrol,27081448
BMW 4 Series,BMW,2021,46131,Petrol,5804142
Audi e-tron GT,Audi,2011,145456,Electric,19227071
Volvo XC40,Volvo,2014,119043,Diesel,4965554
Tata Safari EV,Tata,2022,43283,Electric,2330099
Nissan Leaf,Nissan,2015,159587,Petrol,4076482
Porsche 911 Turbo S,Porsche,2024,25631,Diesel,34076066
BMW X7,BMW,2015,203647,Petrol,14168379
Toyota Fortuner Legender,Toyota,2012,137254,Petrol,4412114
McLaren Artura,McLaren,2020,69584,Petrol,52920222
Cadillac Escalade,Cadillac,2011,176002,Diesel,13132596
Bentley Flying Spur,Bentley,2019,115810,Petrol,55429951
Mahindra Scorpio,Mahindra,2026,1271,Petrol,1344703
Mahindra XUV 3XO,Mahindra,2015,208801,Petrol,1657717
Audi R8,Audi,2025,14359,Electric,23705287
Ferrari SF90 Stradale,Ferrari,2018,132147,Petrol,76020481
Mercedes-Benz AMG A45,Mercedes-Benz,2015,154664,Petrol,7541180
Mercedes-Benz GLA,Mercedes-Benz,2024,27813,Petrol,4632627
McLaren 570S,McLaren,2012,246444,Diesel,39457439
Maruti Suzuki XL6,Maruti,2025,19237,Petrol,1242494
Cadillac CT5,Cadillac,2019,126908,Petrol,5951451
Audi A4,Audi,2021,66427,Electric,4878829
Ferrari SF90 Stradale,Ferrari,2011,251195,Petrol,75656805
Honda CR-V,Honda,2010,269499,Petrol,4484630
BMW X6 M,BMW,2025,15886,Petrol,20247496
Citroen C5 Aircross,Citroen,2024,21275,Petrol,3386559
Skoda Rapid,Skoda,2011,256253,Petrol,936145
MG Cyberster,MG,2013,146723,Petrol,5429195
MG HS,MG,2019,110273,Diesel,2102781
Porsche 911 GT3 RS,Porsche,2018,98915,Electric,41424114
Audi A5,Audi,2015,108346,Diesel,5751923
Volvo Polestar 2,Volvo,2018,95190,Petrol,8137151
Mahindra Thar,Mahindra,2020,101619,Diesel,1377411
Mahindra XUV300,Mahindra,2022,65377,Diesel,1327236
BMW M4,BMW,2012,141409,Diesel,14680730
Lexus UX 300e,Lexus,2013,118158,Diesel,5785432
Skoda Kodiaq,Skoda,2020,73609,Diesel,4100596
Maruti Suzuki Jimny,Maruti,2023,53680,Petrol,1409724
BMW M8,BMW,2023,54975,Petrol,22004408
Audi TT,Audi,2019,94185,Petrol,6630503
Porsche 911,Porsche,2019,85695,Diesel,20916532
Citroen eC3,Citroen,2020,94977,Petrol,1256886
Lamborghini Urus,Lamborghini,2021,92238,Diesel,50017275
Toyota Land Cruiser,Toyota,2024,19195,Petrol,22402109
Maruti Suzuki Jimny,Maruti,2017,109430,Petrol,1335591
Mercedes-Benz GLA,Mercedes-Benz,2026,429,Petrol,4675979
Porsche 911 GT3 RS,Porsche,2025,10768,Diesel,42669361
Maserati MC20,Maserati,2018,98693,Diesel,20238390
Porsche Panamera,Porsche,2015,165702,Petrol,23539249
Lexus RC,Lexus,2026,3768,Petrol,7485522
Lexus UX,Lexus,2010,179577,Diesel,5114922
Mahindra Thar,Mahindra,2011,299205,Petrol,1168595
Volvo V90,Volvo,2026,4229,Diesel,7318570
Maruti Suzuki Grand Vitara,Maruti,2022,47468,Diesel,1165230
Cadillac Lyriq,Cadillac,2013,191938,Diesel,7794042
Ferrari Daytona SP3,Ferrari,2025,12394,Petrol,49711011
Volkswagen Passat,Volkswagen,2023,45787,Petrol,2531760
Rolls Royce Spectre,Rolls,2012,161594,Petrol,90722470
BMW 2 Series,BMW,2017,140345,Diesel,4756423
Mercedes-Benz AMG S63,Mercedes-Benz,2018,133924,Diesel,30102450
Mercedes-Benz AMG GT,Mercedes-Benz,2024,24997,Petrol,28727335
Skoda Octavia,Skoda,2021,64329,Diesel,3017683
Jeep Wrangler,Jeep,2025,19771,Diesel,6021132
Hyundai Venue,Hyundai,2010,311827,Diesel,833325
BMW M5,BMW,2014,125112,Diesel,19533792
BMW X3,BMW,2019,90815,Petrol,7308288
Audi Q8,Audi,2018,73917,Diesel,13476301
Hyundai i20,Hyundai,2011,134268,Diesel,777981
Jaguar XF,Jaguar,2021,71421,Diesel,5934049
Land Rover Defender,Land Rover,2010,144019,Petrol,11563509
Mahindra Bolero,Mahindra,2025,10453,Petrol,1022665
Toyota Innova Hycross,Toyota,2025,8380,Petrol,2163195
BMW X1,BMW,2013,225994,Petrol,5106460
McLaren 570S,McLaren,2010,138097,Petrol,40594517
Nissan Kicks,Nissan,2021,93730,Petrol,995881
Volkswagen Virtus,Volkswagen,2021,75434,Petrol,1316897
Mercedes-Benz E-Class,Mercedes-Benz,2021,73107,Petrol,8675446
Cadillac Lyriq,Cadillac,2024,17412,Petrol,7099283
Honda City e:HEV,Honda,2017,116940,Electric,1923260
Lamborghini Huracan,Lamborghini,2016,131476,Diesel,41298523
Ferrari Daytona SP3,Ferrari,2012,189717,Petrol,46011079
Kia Carnival,Kia,2020,68947,Electric,2680226
Honda WR-V,Honda,2011,143803,Petrol,1044814
Tata Punch EV,Tata,2020,70446,Electric,1393878
Land Rover Range Rover,Land Rover,2016,161327,Diesel,35902175
Audi RSQ8,Audi,2025,15740,Petrol,22460181
Lincoln MKZ,Lincoln,2022,68221,Petrol,5339590
Mahindra XUV 3XO,Mahindra,2012,189932,Diesel,1745745
Audi Q3,Audi,2011,140746,Petrol,4401021
Citroen C3,Citroen,2020,79041,Petrol,704107
Tata Punch,Tata,2018,157319,Petrol,750560
BMW X6 M,BMW,2011,225618,Petrol,18580600
Hyundai Ioniq 5,Hyundai,2010,315853,Diesel,4702450
Toyota Innova Hycross,Toyota,2013,219334,Diesel,2845156
Mahindra KUV100,Mahindra,2022,32999,Petrol,826692
Honda Amaze,Honda,2023,24101,Petrol,989525
Lamborghini Revuelto,Lamborghini,2012,264607,Diesel,87400714
BMW X4,BMW,2021,75151,Diesel,7693400
McLaren 765LT,McLaren,2016,175990,Petrol,56252859
Volkswagen Vento,Volkswagen,2014,237744,Petrol,1248352
Land Rover Defender,Land Rover,2020,59039,Petrol,13082692
Nissan Micra,Nissan,2024,36440,Diesel,792548
Lamborghini Temerario,Lamborghini,2023,26580,Diesel,55927111
MG 4 EV,MG,2021,96652,Electric,2902953
Volkswagen Tiguan,Volkswagen,2015,203208,Petrol,3769980
Volvo S90,Volvo,2023,25886,Petrol,7032564
Maserati Ghibli,Maserati,2010,302187,Petrol,14521895
Bentley Mulliner Bacalar,Bentley,2021,76690,Petrol,90791988
Honda Jazz,Honda,2012,132700,Diesel,1100877
Porsche 718 Cayman,Porsche,2018,77356,Petrol,15543681
Nissan Kicks,Nissan,2023,31744,Petrol,922198
Toyota Innova Hycross,Toyota,2023,28634,Petrol,2313923
Honda Jazz,Honda,2021,78480,Diesel,949936
Mahindra Bolero,Mahindra,2025,18360,Petrol,1082129
Citroen C3,Citroen,2010,172031,Diesel,663446
Lamborghini Huracan,Lamborghini,2014,115263,Diesel,41416816
Citroen C3,Citroen,2014,217040,Petrol,769396
Kia Carnival,Kia,2017,90228,Petrol,2498631
Volvo EX90,Volvo,2013,116702,Diesel,8187636
Audi A5,Audi,2025,8627,Electric,5835798
Kia Carens,Kia,2017,160651,Petrol,1687323
Jeep Wrangler,Jeep,2023,37727,Petrol,5733641
Nissan Leaf,Nissan,2022,76479,Petrol,4064869
Citroen eC3,Citroen,2017,163821,Diesel,1266697
Ferrari SF90 Stradale,Ferrari,2017,122860,Petrol,79387668
Rolls Royce Cullinan,Rolls,2013,201769,Diesel,76331855
Genesis GV70,Genesis,2018,130703,Petrol,5183504
Mahindra Thar,Mahindra,2026,4503,Petrol,1312809
Tata Safari,Tata,2022,50054,Petrol,2124311
Mahindra BE 5,Mahindra,2014,201788,Petrol,3278673
Mercedes-Benz AMG A45,Mercedes-Benz,2020,54601,Diesel,7723492
Audi Q7,Audi,2014,131178,Diesel,9054450
Land Rover Discovery,Land Rover,2020,102405,Diesel,9705478
Jaguar XJ,Jaguar,2010,199893,Diesel,11363267
Tata Punch,Tata,2021,53224,Petrol,710332
Mahindra Thar 5-Door,Mahindra,2018,139885,Petrol,1852634
Honda CR-V,Honda,2018,86122,Diesel,4417338
Volvo XC60,Volvo,2023,46033,Petrol,7534227
Mercedes-Benz CLS,Mercedes-Benz,2012,217401,Petrol,10113606
Lexus LX,Lexus,2025,10750,Diesel,15655191
Honda Jazz,Honda,2025,15071,Petrol,1014688
Genesis G70,Genesis,2010,258734,Petrol,4318597
Citroen C3 Aircross,Citroen,2014,152111,Petrol,1064598
Audi Q3,Audi,2017,175326,Electric,4413885
Jeep Compass,Jeep,2017,87093,Diesel,2562707
BMW M2,BMW,2013,235493,Petrol,10158480
Renault Duster,Renault,2020,62071,Petrol,1267125
Lexus RZ 450e,Lexus,2010,149217,Petrol,12706690
Maruti Suzuki Fronx,Maruti,2025,17995,Petrol,1326022
Maserati MC20,Maserati,2017,145163,Diesel,22456142
McLaren P1,McLaren,2011,239416,Petrol,90505470
Citroen C5 Aircross,Citroen,2010,129155,Petrol,3272152
Skoda Octavia RS,Skoda,2025,9885,Petrol,3939775
Mahindra BE 6,Mahindra,2015,124741,Diesel,3366521
Lamborghini Aventador,Lamborghini,2013,142245,Diesel,70276139
Jeep Wagoneer,Jeep,2018,86865,Diesel,4190150
BMW 2 Series,BMW,2014,228629,Diesel,4782836
MG 4 EV,MG,2020,118501,Electric,2855205
Kia Sportage,Kia,2016,143516,Petrol,3111471
Hyundai Ioniq 5,Hyundai,2025,10264,Petrol,4818140
Bentley Mulliner Bacalar,Bentley,2012,138707,Petrol,88985722
MG HS,MG,2010,295592,Petrol,2450891
Renault Duster,Renault,2023,49438,Diesel,1421721
Maruti Suzuki Baleno,Maruti,2024,34048,Petrol,913601
Lexus GX,Lexus,2013,149309,Diesel,11476905
Maserati Quattroporte,Maserati,2024,30476,Petrol,20261140
Aston Martin DB11,Aston,2018,133582,Petrol,45114678
Maruti Suzuki XL6,Maruti,2015,90171,Petrol,1322389
Toyota Glanza,Toyota,2017,174502,Petrol,778746
McLaren P1,McLaren,2019,62427,Petrol,85898254
BMW X5,BMW,2019,121003,Diesel,10705846
Aston Martin Valhalla,Aston,2022,57538,Petrol,75577466
MG Comet EV,MG,2021,78536,Electric,857819
Ferrari Purosangue,Ferrari,2013,152241,Petrol,51944430
Porsche 911 GT3,Porsche,2014,113919,Diesel,29275004
Tata Safari EV,Tata,2011,262388,Electric,2042729
Skoda Rapid,Skoda,2020,56979,Petrol,1292275
Bentley Mulliner Bacalar,Bentley,2024,20859,Petrol,90735199
Toyota Camry,Toyota,2023,28776,Petrol,4677197
BMW 8 Series,BMW,2023,45783,Petrol,16637556
Mercedes-Benz AMG A45,Mercedes-Benz,2021,41878,Diesel,7626548
Mercedes-Benz AMG GT,Mercedes-Benz,2013,188825,Diesel,27525122
Maruti Suzuki WagonR,Maruti,2011,224944,Diesel,597030
Porsche 911,Porsche,2025,10696,Petrol,29584063
Maruti Suzuki WagonR,Maruti,2016,132268,Petrol,594658
Mahindra Bolero Neo,Mahindra,2017,152572,Petrol,957984
Porsche Taycan,Porsche,2025,14413,Petrol,17978753
Porsche Macan,Porsche,2017,168013,Petrol,17430729
BMW 7 Series,BMW,2010,220489,Diesel,16191054
Audi RS3,Audi,2013,246454,Petrol,8748109
Lexus UX 300e,Lexus,2024,21127,Petrol,6056155
Mahindra BE 6,Mahindra,2025,15937,Petrol,3151435
Honda Civic,Honda,2015,98772,Petrol,1914744
Maserati Grecale,Maserati,2017,140386,Petrol,12773484
Mahindra XUV 3XO,Mahindra,2021,69510,Petrol,1368765
Bentley Continental GT,Bentley,2016,92656,Petrol,51342422
Maserati Grecale,Maserati,2016,127088,Diesel,13468296
Hyundai i20,Hyundai,2022,61186,Petrol,1042067
Jeep Grand Cherokee,Jeep,2023,29132,Petrol,8243844
Renault Kwid,Renault,2011,125797,Diesel,522347
Skoda Octavia,Skoda,2020,96766,Petrol,2849496
Mahindra BE 5,Mahindra,2026,1002,Petrol,2745040
Tata Tiago EV,Tata,2018,98703,Electric,937283
Kia Carens,Kia,2022,77972,Petrol,1570921
BMW X1,BMW,2025,11378,Diesel,4838282
Kia Sonet,Kia,2023,44575,CNG,1224445
BMW M3,BMW,2020,109439,Petrol,13441702
Porsche Cayenne,Porsche,2019,89427,Diesel,21713432
BMW Z4 M40i,BMW,2011,253071,Petrol,9153628
Audi A3,Audi,2026,4453,Petrol,3790105
Nissan Sunny,Nissan,2023,41117,Diesel,1114348
Ferrari Purosangue,Ferrari,2015,218216,Diesel,54644428
Nissan Magnite,Nissan,2022,63821,Diesel,713424
Tata Tiago,Tata,2015,198523,Petrol,702102
Mercedes-Benz CLA,Mercedes-Benz,2017,75744,Petrol,5425331
Maruti Suzuki WagonR,Maruti,2024,16045,Petrol,662347
Honda City e:HEV,Honda,2019,104444,Electric,1962768
Honda City e:HEV,Honda,2016,95142,Electric,1929772
Lexus RX,Lexus,2023,46840,Petrol,10729710
BMW 2 Series,BMW,2021,67258,Diesel,4976575
Mercedes-Benz SLK,Mercedes-Benz,2018,73291,Petrol,6198253
Volkswagen Virtus,Volkswagen,2026,1485,Petrol,1190756
Jeep Compass,Jeep,2022,68623,Petrol,3196721
Mahindra BE 5,Mahindra,2018,115286,Petrol,2826491
Maruti Suzuki S-Presso,Maruti,2022,64050,Diesel,449131
Mercedes-Benz GLS,Mercedes-Benz,2014,111952,Petrol,13714762
BMW X7,BMW,2012,262736,Petrol,13978702
Volkswagen Ameo,Volkswagen,2026,2476,Petrol,880370
Lexus NX,Lexus,2010,217714,Diesel,7628894
Audi A5,Audi,2018,85510,Diesel,5427348
Audi Q7,Audi,2026,3232,Petrol,9261814
Mercedes-Benz E-Class,Mercedes-Benz,2021,87667,Petrol,8839870
Mercedes-Benz GLA,Mercedes-Benz,2011,190546,Petrol,4583247
Mercedes-Benz SL,Mercedes-Benz,2019,73535,Petrol,16645827
Lamborghini Urus,Lamborghini,2020,78261,Diesel,46104808
Lexus RZ 450e,Lexus,2021,98111,Petrol,12541256
Lincoln Corsair,Lincoln,2025,19188,Petrol,5535876
Toyota Fortuner,Toyota,2022,77822,Petrol,3548625
Maserati Levante,Maserati,2018,144460,Petrol,16683727
Porsche 911 GT3,Porsche,2013,133567,Petrol,25069491
Lincoln Corsair,Lincoln,2012,145692,Petrol,5475926
Jeep Compass,Jeep,2011,264538,Petrol,2351732
Mahindra KUV100,Mahindra,2010,139814,Diesel,691181
McLaren 750S,McLaren,2025,11933,Petrol,43718927
MG Astor,MG,2021,78711,Petrol,1254200
Audi Q6 e-tron,Audi,2011,192348,Electric,12726706
Mercedes-Benz GLC,Mercedes-Benz,2015,125972,Petrol,7948871
Genesis GV70,Genesis,2017,162541,Petrol,5682181
Tata Harrier,Tata,2020,110803,Petrol,2115428
Aston Martin DB12,Aston,2012,273647,Petrol,45384359
Hyundai Verna,Hyundai,2020,92726,Diesel,1741429
Volvo S90,Volvo,2024,37029,Petrol,7160236
Volvo XC90,Volvo,2016,81810,Petrol,10203855
MG Hector,MG,2025,9739,Petrol,1915194
Tata Safari EV,Tata,2021,58295,Electric,1845042
Volvo V60,Volvo,2021,72644,Petrol,5919107
Kia Sportage,Kia,2020,49527,CNG,2719199
Audi Q8,Audi,2013,205107,Petrol,13296163
Ferrari 296 GTB,Ferrari,2025,9864,Petrol,59634865
Maruti Suzuki XL6,Maruti,2021,90666,Diesel,1125032
Porsche 911 GT3,Porsche,2012,162992,Petrol,25738141
Citroen eC3,Citroen,2024,18278,Petrol,1236561
Mahindra Bolero,Mahindra,2010,233653,Petrol,1025512
Audi Q5,Audi,2010,230854,Diesel,7313143
Maruti Suzuki Ciaz,Maruti,2026,3330,Petrol,1043973
Mahindra XUV 3XO,Mahindra,2022,63213,Petrol,1527524
Land Rover Range Rover Velar,Land Rover,2019,88169,Petrol,9337304
Tata Nexon EV,Tata,2014,204112,Electric,1679892
Audi e-tron,Audi,2021,72402,Electric,17498982
BMW 8 Series,BMW,2017,131086,Petrol,17815199
Audi RS7,Audi,2012,145909,Petrol,18031829
Maruti Suzuki Dzire,Maruti,2012,113620,Diesel,817159
Honda WR-V,Honda,2022,53263,Diesel,1053237
Audi Q3,Audi,2010,319002,Petrol,4966816
BMW M2,BMW,2017,132299,Petrol,10609293
Volvo S90,Volvo,2023,52955,Petrol,6624488
Mahindra XUV700,Mahindra,2014,236933,Diesel,1420989
BMW M4,BMW,2019,127550,Petrol,15081449
Volkswagen Virtus,Volkswagen,2014,164871,Diesel,1488323
Audi RS4,Audi,2011,261228,Diesel,10470667
Cadillac Lyriq,Cadillac,2026,587,Petrol,7857869
Maruti Suzuki Baleno,Maruti,2011,165096,Petrol,904520
Land Rover Discovery Sport,Land Rover,2026,4640,Petrol,6767362
Skoda Rapid,Skoda,2010,293858,Diesel,1222090
Cadillac Escalade,Cadillac,2019,65678,Diesel,14861402
McLaren Artura,McLaren,2012,228309,Petrol,53514092
Mercedes-Benz S-Class,Mercedes-Benz,2018,139437,Diesel,19006681
Cadillac XT5,Cadillac,2017,146213,Diesel,5710826
McLaren 765LT,McLaren,2020,101476,Petrol,54668704
Maruti Suzuki Jimny,Maruti,2010,193123,Diesel,1314059
Tata Harrier,Tata,2022,79034,Petrol,2004041
Ferrari Portofino,Ferrari,2019,87664,Diesel,40020550
Jaguar XF Sportbrake,Jaguar,2019,75773,Diesel,6778263
Land Rover Defender,Land Rover,2015,103952,Petrol,13762923
Lexus ES,Lexus,2024,26484,Petrol,6515629
Porsche 911 GT3,Porsche,2020,81701,Electric,30214337
Tata Punch,Tata,2023,36269,Diesel,650384
Tata Safari EV,Tata,2023,37154,Electric,2035809
Mahindra Thar 5-Door,Mahindra,2010,181496,Petrol,1859839
Jaguar XJ,Jaguar,2026,4555,Petrol,13101439
Bentley Azure,Bentley,2020,108550,Diesel,68572369
BMW M4,BMW,2019,123509,Diesel,15404110
Kia Sonet,Kia,2018,71356,Petrol,1347847
Kia Sonet,Kia,2012,121192,Petrol,810370
Hyundai Verna,Hyundai,2011,131183,Petrol,1663325
Tata Curvv,Tata,2014,184685,Petrol,1980224
Cadillac CT4,Cadillac,2015,107985,Petrol,5546780
Mercedes-Benz AMG C63,Mercedes-Benz,2015,186848,Petrol,15913107
Honda Civic,Honda,2015,132340,Petrol,2005842
Rolls Royce Ghost,Rolls,2019,110134,Petrol,77568915
Cadillac CT5,Cadillac,2020,106810,Petrol,5441251
Volkswagen Taigun,Volkswagen,2010,278229,Petrol,1821528
Toyota Camry Hybrid,Toyota,2025,13331,Electric,5184696
Maserati Levante,Maserati,2010,285959,Diesel,16066048
Nissan Kicks,Nissan,2023,44773,Petrol,1104243
Ferrari 296 GTB,Ferrari,2013,257729,Petrol,59153674
Ferrari Portofino,Ferrari,2025,9014,Petrol,40530823
Cadillac XT6,Cadillac,2020,61141,Petrol,6135322
Genesis G80,Genesis,2026,4484,Diesel,5533119
Toyota Innova Hycross,Toyota,2017,175343,Petrol,2415514
Volvo EX90,Volvo,2022,65195,Diesel,8191375
Tata Safari,Tata,2012,203800,Diesel,2679372
Tata Harrier EV,Tata,2014,119174,Electric,2058435
